,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,+/-,Salary,Gender,Pick,UnDraft
485,Aleksej Pokusevski,OKC,21,34,16,18,20.6,8.1,-5.8,3261480,1,17.0,0
486,Bryce McGowens,CHA,20,46,16,30,17.1,5.3,-3.3,1075000,1,40.0,0
487,Garrett Temple,NOP,37,25,16,9,6.5,2.0,-0.7,4910000,1,,1
488,Garrison Mathews,ATL,26,54,16,38,12.7,4.8,-1.6,2000000,1,,1
489,Jaden Ivey,DET,21,74,16,58,31.1,16.3,-8.7,7252200,1,5.0,0
490,Jalen Duren,DET,19,67,16,51,24.9,9.1,-4.2,4124280,1,13.0,0
491,Jeremiah Robinson-Earl,OKC,22,43,16,27,18.9,6.8,-0.2,2000000,1,32.0,0
492,Josh Christopher,HOU,21,64,16,48,12.3,5.8,-3.5,2372160,1,24.0,0
493,Kelly Oubre Jr.,CHA,27,48,16,32,32.2,20.3,-5.8,12600000,1,,1
494,Killian Hayes,DET,21,76,16,60,28.3,10.3,-6.6,5572680,1,7.0,0
495,Svi Mykhailiuk,CHA,26,32,16,16,14.6,6.9,0.6,1836090,1,47.0,0
496,Wendell Moore Jr.,MIN,21,29,16,13,5.3,1.4,-1.8,2306520,1,,1
497,Alex Len,SAC,30,26,15,11,6.2,1.7,0.7,3918000,1,5.0,0
498,Bojan Bogdanovic,DET,34,59,15,44,32.1,21.6,-5.6,19550000,1,31.0,0
499,Daishen Nix,HOU,21,57,15,42,16.0,4.0,-2.6,1563518,1,,1
500,Evan Fournier,NYK,30,27,15,12,17.0,6.1,-2.0,18000000,1,20.0,0
501,Jeremy Sochan,SAS,20,56,15,41,26.0,11.0,-4.2,5063520,1,9.0,0
502,John Wall,LAC,32,34,15,19,22.2,11.4,-3.1,6479000,1,1.0,0
503,Justin Jackson,BOS,28,23,15,8,4.7,0.9,-3.1,1836090,1,15.0,0
504,Justin Jackson,BOS,28,23,15,8,4.7,0.9,-3.1,1836090,1,43.0,0
